"ean";"naam";"merk";"doeldier";"voertype";"levensfase";"categorie";"ingredienten";"analyse";"verpakking";"prijs";"bol_url";"afbeelding";"bron";"url";"opmerking"
"0064992525118";"Acana Adult Dog Recipe - Kip 11.4 kg";"Acana";"Hond";"Droogvoer";"Volwassen";"Volledig";"Verse kip (14%), kippenvlees meel (14%), hele rode linzen, hele groene erwten, hele kikkererwten, vers kippen orgaanvlees (lever, hart) (5,5%), haring meel (5%), kippen vet (5%), kalkoenvlees meel (5%), eieren (4%), rauwe platvis (4%), visolie (3%), hele groene linzen, hele gele erwten, erwtenvezel, erwtenzetmeel, rauwe kalkoen lever (0,5%), zout, gedroogd zeewier, verse hele appels, verse hele muskaat pompoen, verse hele wortels, versehele peren, verse hele pompoen, verse hele courgette, vers bieten loof, verse boerenkool, verse spinazie, verse raapstelen, verse hele bosbes, verse helecranberry, verse hele saskatoon berries, kliswortel, lavendel, heemstwortel, mariadistel, rozenbottels, kurkuma.";"Ruw eiwit 29 % Vetgehalte 17 % Ruwe as 7 % Ruw vezel 5 % Vocht 12 % Calcium 1,3 % Fosfor 1 % Omega-6 2,6 % Omega-3 1 % DHA/EPA 0.3 % / 0.3 %";"11.4 kg";;;;"scraped";"https://www.petsplace.nl/acana-adult-dog-recipe-hondenvoer-064992525118-pps";
"0064992714413";"Acana Cat Bountiful Catch Zalm&Haring&Heek";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Rauwe hele zalm (15%), gedroogde zalm (15%), gedroogde haring (15%), hele haver, hele erwten, koolvis olie (8%), hele groene linzen, rauwe hele heek(4%), rauwe hele haring (4%), hele kikkererwten, hele rode linzen, linzen vezel, rauwe regenboog forel (2%), zalm olie (2%), zonnebloem olie, gedroogd zeewier, verse hele muskaat pompoen, verse hele pompoen, verse hele cranberry, verse hele bosbes.";"Ruw eiwit 34 % Ruw vet 16 % Ruwe vezel 4 % Ruwe as 9 % Vocht 10 % Calcium 2 % Fosfor 1,4 % Magnesium 100 % Taurine 100 % Omega-6 2,5 % Omega-3 0,8 % DHA / EPA 0,3 % / 0,2 %";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-bountiful-catch-kattenvoer-m-064992714413-pps";
"0064992714697";"Acana Cat Grasslands Lam&Eend&Witvis";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Vers eendenvlees (11%), vers kippenvlees(11%), verse scharrel eieren(8%), gedroogde kip (7%), gedroogde kalkoen (7%), gedroogde witvis(7%), hele pinto bonen, hele erwten, vers kalkoenvlees (6%), eenden vet (5%), hele rode linzen, hele kikkererwten, hele groene linzen, rauw kwartel vlees (4%), vers kippen orgaanvlees (lever, hart) (2%), koolvis olie (2%), vers kalkoen orgaanvlees (lever, hart) (2%), linzen vezel, gedroogd eenden vlees (1%), eendenlever (1%), eenden kraakbeen (0.5%), gevriesdroogde kippen en kalkoen levers (0.5%), gedroogd zeewier, verse hele pompoen, verse hele muskaat pompoen, verse boerenkool, verse spinazie, verse raapstelen, verse wortels, verse appels, verse peren, verse hele cranberry, verse hele bosbes, cichoreiwortel, kurkuma, mariadistel, kliswortel, lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 37 % Ruw vet 18 % Ruwe vezel 3 % Ruwe as 9 % Vocht 10 % Calcium 1,9 % Fosfor 1,3 % Magnesium 100 % Taurine 100 % Omega-6 2,5 % Omega-3 0,8 % DHA / EPA 0,2 % / 0,2 %";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-grasslands-kattenvoer-m-064992714697-pps";
"0064992714345";"Acana Cat Homestead Harvest Kip&Kalkoen";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Vers kippenvlees (17%), gedroogd kippenvlees (15%), gedroogd kalkoen vlees (13%), hele haver, hele erwten, kippen vet (7%), hele groene linzen, hele kikkererwten, hele rode linzen, verse scharrel eieren (4%), vers kalkoenvlees (4%), linzen vezel, koolvis olie (1%), vers eenden vlees (1%), kippen kraakbeen (1%), vers kippen orgaanvlees (lever en hart) (1%), vers kalkoen orgaanvlees (lever en hart) (1%), gedroogd zeewier, verse hele muskaat pompoen, verse hele pompoen, verse hele cranberry’s, verse hele blauwe bessen.";"Ruw eiwit 34 % Ruw vet 16 % Ruwe celstof 4 % Ruwe as 8 % Vocht 10 % Calcium 1.8 % Fosfor 1.2 % Magnesium 0.1 % Taurine 0.1 % Omega-6 vetzuren 2.8 % Omega-3 vetzuren 0.5 % DHA / EPA 0.1 % / 0.1 %";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-homestead-harvest-kattenvoer-m-064992714345-pps";
"0064992714482";"Acana Cat Indoor Entrée Kip&Kalkoen";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Verse kip (18%), kippenvlees meel (16%), haringmeel (15%), havergrutten, hele erwten, kippenvet (5%), gemalen miscanthus gras, hele groene linzen, rauwe kalkoen (4%), rauwe hele haring (4%), hele kikkererwten, hele rode linzen, linzenvezel, rauw konijn (1%), verse kippeningewanden (lever, hart, spiermaag) (1%), rauwe kalkoenlever (1%), gedroogde kelp, verse hele flespompoen, verse hele pompoen, hele veenbessen, hele bosbessen.";"Ruw eiwit 37% Vet 14% Ruwe as 9% Ruwe vezels 6 % Vocht 10% Calcium 1,3% Fosfor 1% Magnesium 0,1% Taurine 0,1% Omega-6 vetzuren 2% Omega-3 vetzuren 0,5% DHA 0,2% EPA 0,1%";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-indoor-entree-kattenvoer-m-064992714482-pps";
"0064992714628";"Acana Cat Pacifica Zeevis";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Rauwe hele Pacifische haring (14%), rauwe hele Pacifische makreel (13%), rauwe hele heek(9%), gedroogde haring (8%), gedroogde blauwe wijting (8%), gedroogde horsmakreel (8%), hele pinto bonen, hele erwten, rauw wild gevangen bot (5%), koolvis olie (5%), hele rode linzen, hele kikkererwten, hele groene linzen, rauwe hele roodbaars (4%), zonnebloem olie, linzen vezel, gevriesdroogde kabeljauw lever (1%), gedroogd zeewier, verse hele pompoen, verse hele muskaat pompoen, verse boerenkool, verse spinazie, verse raapstelen, verse wortels, verse appels, verse peren, verse hele cranberry, verse hele bosbes, cichoreiwortel, kurkuma, mariadistel, kliswortel, lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 37 % Ruw vet 18 % Ruwe vezel 3 % Ruwe as 9 % Vocht 10 % Calcium 1.2 % Fosfor 0,9 % Magnesium 100 % Taurine 100 % Omega-6 2 % Omega-3 2,2 % DHA / EPA 1 % / 0,8 %";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-pacifica-kattenvoer-m-064992714628-pps";
"0064992714550";"Acana Cat Wild Prairie Kip&Vis&Ei";"Acana";"Kat";"Droogvoer";"Alle leeftijden";"Volledig";"Vers kippenvlees (9%), vers kalkoenvlees (9%), verse kippenlever (9%), gedroogd kippenvlees (8.5%), gedroogd kalkoen vlees (8%), gedroogde haring (8%), hele pinto bonen, hele erwten, kippen vet (6%), hele rode linzen, hele kikkererwten, hele groene linzen, verse scharrel eieren (4%), in het wild gevangen rauwe witvis (4%), in het wild gevangen rauwe regenboog forel (4%), vers kalkoen orgaanvlees (lever en hart) (2%), linzen vezel, koolvis olie (1%), verse kippen hartjes (1%), kippen kraakbeen (1%), gevriesdroogde kippen en kalkoen lever (0.5%), gedroogd zeewier, verse hele pompoen, verse hele muskaat pompoen, verse boerenkool, verse spinazie, verse raapstelen, verse wortels, verse appels, verse peren, verse hele cranberry’s, verse hele blauwe bessen, cichoreiwortel, kurkuma, mariadistel, kliswortel, lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 37 % Ruw vet 18 % Ruwe celstof 3 % Ruwe as 9 % Vocht 10 % Calcium 1.6 % Fosfor 1.2 % Magnesium 0.1 % Taurine 0.1 % Omega-6 vetzuren 3.5 % Omega-3 0.6 % DHA / EPA 0.2 % / 0.2 %";"";;;;"scraped";"https://www.petsplace.nl/acana-cat-wild-prairie-kattenvoer-m-064992714550-pps";
"0064992561178";"Acana Classics Classic Red Lam&Rund";"Acana";"Hond";"Droogvoer";"Alle leeftijden";"Volledig";"Lamsvleesmeel (23%), Gesneden haver (22%), Verse Angus rundvlees (5%), Vers Yorkshire varken (5%), Lams vet (5%), Hele rode linzen, Hele groenen erwten, Hele groenen linzen, Vers gras gevoerd lam (4%), Hele haver, Verse runderlever (2%), Varkensvlees meel (2%), Haring olie (2%), Verse varkenslever (2%), Hele garbanzo bonen, Hele gele erwten, Zon gedroogde alfalfa, Linzen vezel, vers rundvlees pens (1%), Gedroogde bruine zeewier, Verse pompoen, Verse butternut squash, Verse pastinaak, Verse groene boerenkool, Verse spinazie, Verse wortelen, Verse Red Delicious appels, Verse Bartlett peren, Gevriesdroogde rund lever (0.1%), Verse cranberries, Verse bosbessen, Cichoreiwortel, Kurkuma, Mariadistel, kliswortel, Lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 29 % Ruw vet 17 % Ruwe as 7.5 % Ruwe celstof 5 % Vocht 12 % Calcium 1.5 % Fosfor 1.1 % Omega-6 vetzuren 2.5 % Omega-3 vetzuren 0.8 % DHA / EPA 0.15 % / 0.15 % Glucosamine 600 mg/kg Chondroitine 800 mg/kg";"";;;;"scraped";"https://www.petsplace.nl/acana-classics-classic-red-hondenvoer-m-064992561178-pps";
"0064992560171";"Acana Classics Prairie Poultry Kip&Kalkoen";"Acana";"Hond";"Droogvoer";"Alle leeftijden";"Volledig";"Verse kip (21 %), gedroogde kip (20 %), parelgort, hele erwten, havergrutten, kippenvet (8 %), hele haver, kikkererwtenvezel, visolie (1 %), kaliumchloride, gedroogde kelp, zout, gedroogde cichoreiwortel, verse hele pompoen, verse hele flespompoen, verse hele wortels, verse hele appels, verse hele peren, verse hele courgette, verse boerenkool, verse spinazie, verse raapstelen, vers bietenloof, hele veenbessen, hele bosbessen, hele Saskatoon-bessen, kurkuma, mariadistel, kliswortel, lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 29 % Ruw vet 17 % Ruwe as 7.5 % Ruwe celstof 5 % Vocht 12 % Calcium 1.3 % Fosfor 1 % Omega-6 vetzuren 2.6 % Omega-3 vetzuren 0.5 % DHA / EPA 0.1 % / 0.1 % Glucosamine 1200 mg/kg Chondroitine 900 mg/kg";"";;;;"scraped";"https://www.petsplace.nl/acana-classics-prairie-poultry-hondenvoer-m-064992560171-pps";
"0064992562175";"Acana Classics Wild Coast Haring&Bot";"Acana";"Hond";"Droogvoer";"Alle leeftijden";"Volledig";"Rauwe zalm (22 %), gedroogde haring (19 %), parelgort, hele erwten, havergrutten, varkensvet (8 %), hele haver, kikkererwtenvezel, visolie (1 %), calciumcarbonaat, kaliumchloride, gedroogde kelp, zout, gedroogde cichoreiwortel, verse hele pompoen, verse hele flespompoen, verse hele wortels, verse hele appels, verse hele peren, verse hele courgette, verse boerenkool, verse spinazie, verse raapstelen, vers bietenloof, hele veenbessen, hele bosbessen, hele Saskatoon-bessen, kurkuma, mariadistel, kliswortel, lavendel, heemstwortel, rozenbottels.";"Ruw eiwit 29 % Ruw vet 17 % Ruwe as 7.5 % Ruwe celstof 5 % Vocht 12 % Calcium 1.1 % Fosfor 0.9 % Omega-6 vetzuren 2.4 % Omega-3 vetzuren 1.4 % DHA / EPA 0.4 % / 0.3 % Glucosamine 700 mg/kg Chondroitine 900 mg/kg";"";;;;"scraped";"https://www.petsplace.nl/acana-classics-wild-coast-hondenvoer-m-064992562175-pps";
