# barcodes already looked up on Open Pet Food Facts (barcode;date;result) - delete a line to look it up again
0052742000589;2026-09-26;none
0052742000633;2026-09-26;none
0052742003740;2026-09-26;none
0052742008189;2026-09-26;none
0052742008240;2026-09-26;none
0052742008264;2026-09-26;none
0052742008936;2026-09-26;none
0052742011561;2026-09-26;photo
0052742011608;2026-09-26;none
0052742011646;2026-09-26;none
0052742015705;2026-09-26;none
0052742015866;2026-09-26;none
0052742017310;2026-09-26;none
0052742018577;2026-09-26;none
0052742021324;2026-09-26;none
0052742021386;2026-09-26;none
0052742021508;2026-09-26;none
0052742021522;2026-09-26;photo
0052742022802;2026-09-26;photo
0052742022871;2026-09-26;none
0052742022925;2026-09-26;photo
0052742023212;2026-09-26;none
0052742023311;2026-09-26;none
0052742023403;2026-09-26;none
0052742023700;2026-09-26;none
0052742023885;2026-09-26;photo
0052742024257;2026-09-26;none
0052742024271;2026-09-26;photo
0052742024318;2026-09-26;none
0052742024370;2026-09-26;none
0052742024417;2026-09-26;none
0052742024745;2026-09-26;photo
0052742024783;2026-09-26;photo
0052742024806;2026-09-26;none
0052742024950;2026-09-26;none
0052742025018;2026-09-26;none
0052742025049;2026-09-26;none
0052742025124;2026-09-26;none
0052742025131;2026-09-26;none
0052742025186;2026-09-26;none
0052742025209;2026-09-26;none
0052742025223;2026-09-26;none
0052742025278;2026-09-26;none
0052742025292;2026-09-26;none
0052742025339;2026-09-26;photo
0052742025742;2026-09-26;photo
0052742025797;2026-09-26;none
0052742025827;2026-09-26;none
0052742025902;2026-09-26;none
0052742026015;2026-09-26;none
0052742026091;2026-09-26;none
0052742026862;2026-09-26;photo
0052742027005;2026-09-26;photo
0052742027180;2026-09-26;none
0052742030302;2026-09-26;none
0052742030791;2026-09-26;none
0052742035970;2026-09-26;photo
0052742037073;2026-09-26;none
0052742037202;2026-09-26;none
0052742037387;2026-09-26;none
0052742037585;2026-09-26;none
0052742037950;2026-09-26;none
0052742038537;2026-09-26;none
0052742038773;2026-09-26;none
0052742039268;2026-09-26;none
0052742039336;2026-09-26;none
0052742039732;2026-09-26;none
0052742039756;2026-09-26;none
0052742039817;2026-09-26;none
0052742039855;2026-09-26;none
0052742039879;2026-09-26;rejected
0052742039893;2026-09-26;photo
0052742039916;2026-09-26;none
0052742040257;2026-09-26;none
0052742040424;2026-09-26;none
0052742040516;2026-09-26;none
0052742040578;2026-09-26;photo
0052742040707;2026-09-26;photo
0052742040745;2026-09-26;none
0052742040806;2026-09-26;none
0052742041063;2026-09-26;none
0052742041636;2026-09-26;none
0052742041650;2026-09-26;none
0052742041667;2026-09-26;none
0052742041698;2026-09-26;none
0052742041742;2026-09-26;none
0052742042084;2026-09-26;photo
0052742042237;2026-09-26;photo
0052742042251;2026-09-26;none
0052742042329;2026-09-26;none
0052742042848;2026-09-26;none
0052742043128;2026-09-26;none
0052742043142;2026-09-26;photo
0052742043760;2026-09-26;photo
0052742043821;2026-09-26;none
0052742044064;2026-09-26;none
